# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\wild-type_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	6.896551719999998	13.793103439999996	20.689655159999994	27.58620687999999	34.48275859999999	41.37931031999999	48.275862039999986	55.17241375999998	62.06896547999998	68.96551719999998						
MCM1_1_p_r1	0.31264367816091954	0.27586206896551724	0.23809523809523808	0.1737891737891738	0.1723076923076923	0.19666666666666666	0.2318840579710145	0.2885375494071146	0.341991341991342	0.35714285714285715	0.3631578947368421	0.19085020242914982	0.1723076923076923	0.0	27.58620687999999	1.0	1.0
MCM1_1_p_r2	0.29195402298850576	0.35960591133004927	0.373015873015873	0.4131054131054131	0.48615384615384616	0.52	0.5507246376811594	0.616600790513834	0.7012987012987013	0.7	0.7105263157894737	0.4185722928009679	0.29195402298850576	0.0187	0.0	0.0	0.0
TAF12_1_p_r1	0.335632183908046	0.3866995073891626	0.3835978835978836	0.35327635327635326	0.3292307692307692	0.3233333333333333	0.36594202898550726	0.3952569169960474	0.36796536796536794	0.4238095238095238	0.5526315789473685	0.22929824561403517	0.3233333333333333	0.0729	34.48275859999999	0.0	0.0
TAF12_1_p_r2	0.39770114942528734	0.41133004926108374	0.41534391534391535	0.4074074074074074	0.4123076923076923	0.38666666666666666	0.44565217391304346	0.5573122529644269	0.5757575757575758	0.5380952380952381	0.6684210526315789	0.28175438596491226	0.38666666666666666	0.4795	34.48275859999999	0.0	0.0
TAF12_2_p_r1	0.4574712643678161	0.4852216748768473	0.4973544973544973	0.4928774928774929	0.4153846153846154	0.3333333333333333	0.3188405797101449	0.35968379446640314	0.35064935064935066	0.38571428571428573	0.4631578947368421	0.17851391764435243	0.3188405797101449	0.0612	41.37931031999999	1.0	1.0
YHP1_wb_p_r1	0.19310344827586207	0.23645320197044334	0.3386243386243386	0.42450142450142453	0.5015384615384615	0.5733333333333334	0.6630434782608695	0.7509881422924901	0.8008658008658008	0.7476190476190476	0.6526315789473685	0.6077623525899387	0.19310344827586207	0.0001	0.0	0.0	0.0
YHP1_wb_p_r2	0.1471264367816092	0.1724137931034483	0.2751322751322751	0.396011396011396	0.5138461538461538	0.63	0.7427536231884058	0.8260869565217391	0.8051948051948052	0.7952380952380952	0.7263157894736842	0.6789605197401299	0.1471264367816092	0.0	0.0	1.0	1.0
YHP1_wb_p_r3	0.3839080459770115	0.3694581280788177	0.37566137566137564	0.41595441595441596	0.49538461538461537	0.5666666666666667	0.6014492753623188	0.5810276679841897	0.5844155844155844	0.5666666666666667	0.5368421052631579	0.23199114728350112	0.3694581280788177	0.2773	6.896551719999998	0.0	0.0
YHP1_1_p_r1	0.5839080459770115	0.5517241379310345	0.48677248677248675	0.4985754985754986	0.5446153846153846	0.5266666666666666	0.5253623188405797	0.5217391304347826	0.5064935064935064	0.44761904761904764	0.4473684210526316	0.13653962492437993	0.4473684210526316	0.9473	68.96551719999998	0.0	0.0
YHP1_2_p_r1	0.37471264367816093	0.3891625615763547	0.37566137566137564	0.4415954415954416	0.563076923076923	0.6066666666666667	0.5797101449275363	0.6126482213438735	0.6233766233766234	0.6047619047619047	0.6526315789473685	0.2779189352692075	0.37471264367816093	0.2117	0.0	0.0	0.0
YHP1_2_p_r2	0.535632183908046	0.5246305418719212	0.5211640211640212	0.5185185185185185	0.556923076923077	0.5966666666666667	0.6231884057971014	0.5968379446640316	0.5497835497835498	0.49047619047619045	0.5157894736842106	0.132712215320911	0.49047619047619045	0.9829	62.06896547999998	0.0	0.0
FKH1_1_p_r1	0.3701149425287356	0.3793103448275862	0.3888888888888889	0.3903133903133903	0.39076923076923076	0.38666666666666666	0.40217391304347827	0.4308300395256917	0.4069264069264069	0.35714285714285715	0.34210526315789475	0.08872477636779696	0.34210526315789475	0.141	68.96551719999998	0.0	0.0
FKH1_1_p_r2	0.3080459770114943	0.24630541871921183	0.2037037037037037	0.20797720797720798	0.2676923076923077	0.3433333333333333	0.42391304347826086	0.5098814229249012	0.5454545454545454	0.6095238095238096	0.6894736842105263	0.48576998050682263	0.2037037037037037	0.0003	13.793103439999996	1.0	1.0
