# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\clb1-6_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	6.896551729999999	13.793103459999998	20.689655189999996	27.586206919999995	34.482758649999994	41.37931037999999	48.27586210999999	55.17241383999999	62.06896556999999	68.96551729999999						
SIC1_1_p_r1	0.828042328042328	0.7692307692307693	0.7169230769230769	0.7133333333333334	0.7391304347826086	0.7391304347826086	0.6883116883116883	0.680952380952381	0.6368421052631579	0.6198830409356725	0.6339869281045751	0.20815928710665554	0.6198830409356725	1.0	62.06896556999999	0.0	0.0
SIC1_1_p_r2	0.798941798941799	0.7977207977207977	0.7846153846153846	0.7866666666666666	0.7463768115942029	0.7628458498023716	0.7489177489177489	0.7380952380952381	0.7210526315789474	0.7309941520467836	0.6797385620915033	0.11920323685029566	0.6797385620915033	1.0	68.96551729999999	0.0	0.0
SIC1_2_p_r1	0.6031746031746031	0.5156695156695157	0.49846153846153846	0.55	0.4601449275362319	0.4031620553359684	0.42857142857142855	0.5	0.5210526315789473	0.5029239766081871	0.46405228758169936	0.20001254783863476	0.4031620553359684	0.6858	34.482758649999994	1.0	1.0
SIC1_2_p_r2	0.7645502645502645	0.7549857549857549	0.72	0.7033333333333334	0.75	0.7351778656126482	0.6493506493506493	0.5857142857142857	0.631578947368421	0.6491228070175439	0.6274509803921569	0.1788359788359788	0.5857142857142857	1.0	48.27586210999999	0.0	0.0
ACE2_1_p_r1	0.3333333333333333	0.2849002849002849	0.27692307692307694	0.31333333333333335	0.3333333333333333	0.3438735177865613	0.3246753246753247	0.3047619047619048	0.3368421052631579	0.2807017543859649	0.22875816993464052	0.11511534785192076	0.22875816993464052	0.0015	68.96551729999999	0.0	0.0
ACE2_1_p_r2	0.7063492063492064	0.6524216524216524	0.6307692307692307	0.67	0.6884057971014492	0.6521739130434783	0.7056277056277056	0.719047619047619	0.6578947368421053	0.695906432748538	0.6143790849673203	0.10466853408029875	0.6143790849673203	1.0	68.96551729999999	0.0	0.0
ACE2_2_p_r1	0.17724867724867724	0.18803418803418803	0.20923076923076922	0.18666666666666668	0.19202898550724637	0.1976284584980237	0.17316017316017315	0.19047619047619047	0.2631578947368421	0.24561403508771928	0.20261437908496732	0.08999772157666894	0.17316017316017315	0.0	41.37931037999999	1.0	1.0
ACE2_2_p_r2	0.328042328042328	0.2849002849002849	0.24923076923076923	0.24	0.2210144927536232	0.18972332015810275	0.24242424242424243	0.2904761904761905	0.3	0.3508771929824561	0.35947712418300654	0.16975380402490378	0.18972332015810275	0.0	34.482758649999994	0.0	0.0
FKH1_1_p_r1	0.5264550264550265	0.5071225071225072	0.48	0.45	0.4891304347826087	0.5335968379446641	0.5108225108225108	0.5285714285714286	0.5684210526315789	0.6140350877192983	0.477124183006536	0.16403508771929826	0.45	0.9588	20.689655189999996	0.0	0.0
FKH1_1_p_r2	0.4523809523809524	0.36182336182336183	0.28307692307692306	0.2633333333333333	0.3079710144927536	0.3675889328063241	0.4025974025974026	0.4380952380952381	0.46842105263157896	0.5146198830409356	0.5751633986928104	0.3118300653594771	0.2633333333333333	0.0105	20.689655189999996	1.0	1.0
HCM1_1_p_r1	0.42592592592592593	0.35327635327635326	0.37846153846153846	0.37333333333333335	0.37681159420289856	0.3794466403162055	0.38961038961038963	0.3380952380952381	0.4368421052631579	0.5730994152046783	0.6274509803921569	0.28935574229691874	0.3380952380952381	0.158	48.27586210999999	0.0	0.0
HCM1_1_p_r2	0.5026455026455027	0.4131054131054131	0.3630769230769231	0.4166666666666667	0.4746376811594203	0.5059288537549407	0.45454545454545453	0.44285714285714284	0.48947368421052634	0.42105263157894735	0.40522875816993464	0.1428519306780176	0.3630769230769231	0.3293	13.793103459999998	0.0	0.0
HCM1_2_p_r1	0.42857142857142855	0.30484330484330485	0.31076923076923074	0.38	0.358695652173913	0.4505928853754941	0.5714285714285714	0.5714285714285714	0.5210526315789473	0.6257309941520468	0.6339869281045751	0.3291436232612703	0.30484330484330485	0.0498	6.896551729999999	1.0	1.0
HCM1_2_p_r2	0.5264550264550265	0.47293447293447294	0.39692307692307693	0.41333333333333333	0.427536231884058	0.4268774703557312	0.44155844155844154	0.4714285714285714	0.531578947368421	0.49122807017543857	0.5490196078431373	0.15209653092006037	0.39692307692307693	0.6316	13.793103459999998	0.0	0.0
CDC20_1_p_r1	0.3888888888888889	0.4472934472934473	0.47384615384615386	0.49333333333333335	0.48188405797101447	0.4782608695652174	0.49783549783549785	0.49523809523809526	0.42105263157894735	0.3391812865497076	0.3660130718954248	0.15865421128579027	0.3391812865497076	0.1651	62.06896556999999	0.0	0.0
CDC20_1_p_r2	0.37566137566137564	0.34472934472934474	0.37538461538461537	0.43	0.42391304347826086	0.45849802371541504	0.4458874458874459	0.37142857142857144	0.3263157894736842	0.3333333333333333	0.39215686274509803	0.1321822342417308	0.3263157894736842	0.1088	55.17241383999999	1.0	1.0
CLN3_2_p_r1	0.23544973544973544	0.3247863247863248	0.4276923076923077	0.5633333333333334	0.6630434782608695	0.6561264822134387	0.5930735930735931	0.5095238095238095	0.5052631578947369	0.49707602339181284	0.5032679738562091	0.42759374281113405	0.23544973544973544	0.0	0.0	1.0	1.0
