# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA13_3D7_PE.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA17_3D7_PE.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0				0.0
PF3D7_0202000	0.008333333333333333	0.14285714285714285	0.2857142857142857	0.4358974358974359	0.5909090909090909	0.7272727272727273	0.8666666666666667	0.9722222222222222	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9916666666666667	0.008333333333333333	0.6031	0.0
PF3D7_0500800	0.058333333333333334	0.11428571428571428	0.12087912087912088	0.16666666666666666	0.19696969696969696	0.23636363636363636	0.24444444444444444	0.3611111111111111	0.32142857142857145	0.5714285714285714	0.5333333333333333	1.0	0.5	1.0	0.0	1.0	0.0	0.0	42.0
PF3D7_0201900	0.08333333333333333	0.17142857142857143	0.24175824175824176	0.4358974358974359	0.5606060606060606	0.7090909090909091	0.8	0.8888888888888888	0.8571428571428571	0.8571428571428571	0.8	0.8	0.6666666666666666	0.6666666666666666	0.0	0.8888888888888888	0.0	0.0	42.0
PF3D7_0935900	0.09166666666666666	0.1523809523809524	0.0989010989010989	0.14102564102564102	0.18181818181818182	0.18181818181818182	0.26666666666666666	0.3333333333333333	0.39285714285714285	0.5238095238095238	0.4666666666666667	0.7	0.5	1.0	1.0	0.9083333333333333	0.09166666666666666	0.6105	0.0
PF3D7_1353200	0.05	0.06666666666666667	0.16483516483516483	0.23076923076923078	0.30303030303030304	0.36363636363636365	0.4666666666666667	0.5833333333333334	0.75	0.9047619047619048	0.8666666666666667	0.8	1.0	1.0	1.0	0.95	0.05	0.603	0.0
PF3D7_1149000	0.058333333333333334	0.11428571428571428	0.13186813186813187	0.19230769230769232	0.21212121212121213	0.21818181818181817	0.2222222222222222	0.3333333333333333	0.35714285714285715	0.47619047619047616	0.6666666666666666	0.6	0.6666666666666666	1.0	1.0	0.9416666666666667	0.058333333333333334	0.5993	0.0
PF3D7_0501300	0.05	0.1523809523809524	0.16483516483516483	0.19230769230769232	0.21212121212121213	0.2727272727272727	0.3333333333333333	0.4166666666666667	0.5	0.47619047619047616	0.6	0.5	0.6666666666666666	0.6666666666666666	1.0	0.95	0.05	0.6035	0.0
PF3D7_0102200	0.03333333333333333	0.10476190476190476	0.23076923076923078	0.3333333333333333	0.4393939393939394	0.5636363636363636	0.6888888888888889	0.7777777777777778	0.8571428571428571	0.9047619047619048	0.9333333333333333	0.9	0.8333333333333334	0.6666666666666666	1.0	0.9666666666666667	0.03333333333333333	0.6059	0.0
PF3D7_1370300	0.016666666666666666	0.09523809523809523	0.1978021978021978	0.28205128205128205	0.3939393939393939	0.5272727272727272	0.6666666666666666	0.7777777777777778	0.8928571428571429	0.9523809523809523	0.8666666666666667	1.0	0.8333333333333334	0.6666666666666666	0.0	1.0	0.0	0.0	42.0
PF3D7_0936000	0.041666666666666664	0.12380952380952381	0.13186813186813187	0.24358974358974358	0.3181818181818182	0.4	0.5111111111111111	0.6388888888888888	0.75	0.8571428571428571	0.8	0.9	0.8333333333333334	1.0	1.0	0.9583333333333334	0.041666666666666664	0.5986	0.0
