"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_0317100","6-cysteine protein (B9)",1.04692456826648,4.26739000314908,6.08296172812971,5.41587959621066e-08,0.000249672049385312,7.91048649235437
"PF3D7_1107900","mechanosensitive ion channel protein",1.45716133738396,4.44301062627329,5.84633949212855,1.41953062212783e-07,0.000327201808400464,7.08743768190194
"PF3D7_1343400","DNA repair protein RAD5, putative (RAD5)",0.466083584888922,6.23644854735204,5.14395728989695,2.30148841917108e-06,0.00353662053745955,4.6598075954461
"PF3D7_0219100","conserved protein, unknown function",0.58027544106357,3.91347183313116,4.99258430249538,4.12219002545897e-06,0.00475082400434146,4.11792375572923
"PF3D7_1229100","multidrug resistance-associated protein 2 (MRP2)",0.625861123129789,10.7542803976065,4.80027738183104,8.55317901078444e-06,0.00633245066174844,3.43292493384089
"PF3D7_1475700","tubulin epsilon chain, putative",1.49293638340507,3.04526063783294,4.79330261335021,8.78059269641556e-06,0.00633245066174844,3.10082692286566
"PF3D7_1007800","conserved Plasmodium protein, unknown function",1.54887101287837,3.26561363432023,4.76194350743086,9.87807242453448e-06,0.00633245066174844,3.12750393394712
"PF3D7_0622900","transcription factor with AP2 domain(s), putative (ApiAP2)",0.676458285360504,9.28850782474724,4.71348031874945,1.1841989861425e-05,0.00633245066174844,3.10198027711131
"PF3D7_1359900","conserved Plasmodium membrane protein, unknown function",0.495350713267774,8.79779636599787,4.68624715401844,1.31074964106293e-05,0.00633245066174844,3.00208423695914
"PF3D7_0406800","conserved Plasmodium protein, unknown function",-0.831763561846188,2.56570303088948,-4.67365413238909,1.37363354918621e-05,0.00633245066174844,2.99673693713216
"PF3D7_1144400","conserved Plasmodium protein, unknown function",1.69840683502879,3.35829780567146,4.59859435473617,1.81406123350782e-05,0.00679071042488218,2.56081096994793
"PF3D7_1309800","conserved Plasmodium protein, unknown function",-0.703970210696306,2.63593292456197,-4.59424693250139,1.84340125080302e-05,0.00679071042488218,2.73085522726088
"PF3D7_0907900","peptide deformylase (PDF)",-0.553917288986195,4.1465899435484,-4.56472546334818,2.05520396782052e-05,0.00679071042488218,2.59921723894445
"PF3D7_1234700","CPW-WPC family protein",0.957107589171603,3.18306719074203,4.56379441181719,2.06225479280587e-05,0.00679071042488218,2.55326692688475
"PF3D7_0600200","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.783637376068222,5.43321153818423,4.5110348403864,2.50261648999114e-05,0.00769137467923944,2.397798834398
"PF3D7_1004100","hypothetical protein",1.57170578913021,2.74158809333156,4.45207002929751,3.10299434479128e-05,0.00853645106338979,1.91049984125979
"PF3D7_1100200","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.737258491737906,5.26964361747406,4.44811396871077,3.1479320624214e-05,0.00853645106338979,2.18990511748478
"PF3D7_0807700","serine protease DegP (DegP)",0.870885121104307,5.29918853719947,4.39793147748374,3.77573175036335e-05,0.00967006853843057,2.07394112942297
"PF3D7_0517500","UTP--glucose-1-phosphate uridylyltransferase, putative",1.44500860876598,3.75851881906638,4.35437883817928,4.4176110928318e-05,0.0103910296028211,1.88054428275493
"PF3D7_0111500","UMP-CMP kinase, putative",-0.480579093380751,4.72362328894958,-4.34874229578307,4.50803887324125e-05,0.0103910296028211,1.8492689313893
"PF3D7_0400400","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.829098389659467,5.65895152896536,4.31891620709788,5.01718523629942e-05,0.0110139161615906,1.77408799366452
"PF3D7_0632500","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.84196805578371,7.29082140325842,4.28277920763968,5.70889121295661e-05,0.0113743894751788,1.65595588811711
"PF3D7_0819200","perforin-like protein 5 (PLP5)",1.10178183095778,3.90822173475936,4.28024666657043,5.76068196245516e-05,0.0113743894751788,1.65446481726338
"PF3D7_1334500","MSP7-like protein (MSRP6)",-0.602044638619463,4.03291358054129,-4.27116544635929,5.95015575577249e-05,0.0113743894751788,1.59117913266746
"PF3D7_0425800","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.8166761554626,6.27394349818958,4.23844002564713,6.68421244483464e-05,0.0113743894751788,1.50286042353657
"PF3D7_0733000","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.866246824448409,6.14447485911285,4.23546311952216,6.75516955475457e-05,0.0113743894751788,1.52938340083239
"PF3D7_0800200","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.725740056927032,4.60288252694292,4.21969468766742,7.14332860201357e-05,0.0113743894751788,1.4152635969986
"PF3D7_1245600","kinesin, putative",1.48674418316129,1.87643635207912,4.21812355592801,7.18316348345288e-05,0.0113743894751788,1.10684534399266
"PF3D7_1300300","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.733301871480855,4.97271095559736,4.21065643715837,7.37543815520493e-05,0.0113743894751788,1.38507868098643
"PF3D7_1306500","MORN repeat protein, putative",1.09898056780512,2.94344848441359,4.2096401283709,7.40198881248081e-05,0.0113743894751788,1.46947202030073
"PF3D7_0513800","ras-related protein Rab-1A (RAB1a)",-0.544112974254166,3.56336365019443,-4.16012726594895,8.81340328250761e-05,0.0119385011402942,1.24471731380182
